!version: $Revision: 1.1.1.1 $
!date: $Date: 2001/07/27 16:54:52 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!Michael Ashburner, Cambridge.
!Uses:ENZYME v26.0, May 2000.
!
EC:1.1.1.1 > GO:alcohol dehydrogenase ; GO:0004022
EC:1.1.1.8 > GO:glycerol-3-phosphate dehydrogenase (NAD+) ; GO:0004367
EC:1.1.1.85 > GO:3-isopropylmalate dehydrogenase ; GO:0003862
EC:1.1.1.86 > GO:ketol-acid reductoisomerase ; GO:0004455
EC:1.1.1.95 > GO:phosphoglycerate dehydrogenase ; GO:0004617
EC:1.1.2.3 > GO:L-lactate dehydrogenase (cytochrome) ; GO:0004460
EC:1.1.2.4 > GO:D-lactate dehydrogenase (cytochrome) ; GO:0004458
EC:1.1.3.15 > GO:(S)-2-hydroxy-acid oxidase ; GO:0003973
EC:1.1.3.21 > GO:glycerol-3-phosphate oxidase ; GO:0004369
EC:1.1.3.22 > GO:xanthine oxidase ; GO:0004855
EC:1.1.3.37 > GO:D-arabinono-1,4-lactone oxidase ; GO:0003885
EC:1.1.99.10 > GO:glucose dehydrogenase (acceptor) ; GO:0004344
EC:1.1.99.5 > GO:glycerol-3-phosphate dehydrogenase ; GO:0004368
EC:1.10.2.2 > GO:ubiquinol-cytochrome-c reductase ; GO:0008121
EC:1.10.3.1 > GO:catechol oxidase ; GO:0004097
EC:1.10.3.2 > GO:laccase ; GO:0008471
EC:1.10.3.3 > GO:L-ascorbate oxidase ; GO:0008447
EC:1.11.1.5 > GO:cytochrome c peroxidase ; GO:0004130
EC:1.11.1.6 > GO:catalase ; GO:0004096
EC:1.11.1.7 > GO:peroxidase ; GO:0004601
EC:1.11.1.8 > GO:iodide peroxidase ; GO:0004447
EC:1.11.1.9 > GO:glutathione peroxidase ; GO:0004602
EC:1.13.11.11 > GO:tryptophan 2,3 dioxygenase ; GO:0004833
EC:1.13.11.21 > GO:beta-carotene 15,15'-dioxygenase ; GO:0003834
EC:1.13.11.24 > GO:quercetin 2,3-dioxygenase ; GO:0008127
EC:1.13.11.27 > GO:4-hydroxyphenylpyruvate dioxygenase ; GO:0003868
EC:1.13.11.31 > GO:arachidonate 12-lipoxygenase ; GO:0004052
EC:1.13.11.34 > GO:arachidonate 5-lipoxygenase ; GO:0004051
EC:1.13.11.42 > GO:indoleamine-pyrrole 2,3-dioxygenase ; GO:0004426
EC:1.13.11.5 > GO:homogentisate 1,2-dioxygenase ; GO:0004411
EC:1.14.11.1 > GO:gamma-butyrobetaine,2-oxoglutarate dioxygenase ; GO:0008336
EC:1.14.11.16 > GO:peptide-aspartate beta-dioxygenase ; GO:0004597
EC:1.14.11.2 > GO:procollagen-proline,2-oxoglutarate-4-dioxygenase ; GO:0004656
EC:1.14.11.4 > GO:procollagen-lysine 5-dioxygenase ; GO:0008475
EC:1.14.13.13 > GO:calcidiol 1-monooxygenase ; GO:0004498
EC:1.14.13.17 > GO:cholesterol 7-alpha-monooxygenase ; GO:0008123
EC:1.14.13.39 > GO:nitric oxide synthase ; GO:0004517
EC:1.14.13.8 > GO:dimethylaniline monooxygenase (N-oxide forming) ; GO:0004499
EC:1.14.13.9 > GO:kynurenine 3-monooxygenase ; GO:0004502
EC:1.14.14.1 > GO:cytochrome P450 ; GO:0005490
EC:1.14.15.4 > GO:steroid 11-beta-monooxygenase ; GO:0004507
EC:1.14.15.6 > GO:cholesterol monooxygenase (side-chain cleaving) ; GO:0008386
EC:1.14.16.1 > GO:phenylalanine 4-monooxygenase ; GO:0004505
EC:1.14.16.2 > GO:tyrosine 3-monooxygenase ; GO:0004511
EC:1.14.16.4 > GO:tryptophan 5-monooxygenase ; GO:0004510
EC:1.14.17.1 > GO:dopamine-beta-monooxygenase ; GO:0004500
EC:1.14.17.3 > GO:peptidylglycine monooxygenase ; GO:0004504
EC:1.14.18.1 > GO:monophenol monooxygenase ; GO:0004503
EC:1.14.99.1 > GO:prostaglandin-endoperoxide synthase ; GO:0004666
EC:1.14.99.10 > GO:steroid 21-monooxygenase ; GO:0004509
EC:1.14.99.22 > GO:ecdysone 20-monooxygenase ; GO:0004501
EC:1.14.99.3 > GO:heme oxygenase (decyclizing) ; GO:0004392
EC:1.14.99.5 > GO:stearoyl-CoA 9-desaturase ; GO:0004768
EC:1.14.99.7 > GO:squalene monooxygenase ; GO:0004506
EC:1.14.99.9 > GO:steroid 17-alpha-monooxygenase ; GO:0004508
EC:1.15.1.1 > GO:copper, zinc superoxide dismutase ; GO:0004785
EC:1.15.1.1 > GO:iron superoxide dismutase ; GO:0008382 ; GO:0004786
EC:1.15.1.1 > GO:manganese superoxide dismutase ; GO:0008383 ; GO:0004786
EC:1.15.1.1 > GO:superoxide dismutase ; GO:0004784
EC:1.16.3.1 > GO:ferroxidase ; GO:0004322
EC:1.17.4.1 > GO:ribonucleoside-diphosphate reductase ; GO:0004748
EC:1.18.1.2 > GO:ferredoxin--NADP(+) reductase ; GO:0004324
EC:1.2.1.1 > GO:formaldehyde dehydrogenase (glutathione) ; GO:0004327
EC:1.2.1.11 > GO:aspartate-semialdehyde dehydrogenase ; GO:0004073
EC:1.2.1.12 > GO:glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ; GO:0004365
EC:1.2.1.24 > GO:succinate-semialdehyde dehydrogenase ; GO:0004777
EC:1.2.1.27 > GO:methylmalonate-semialdehyde dehydrogenase (acylating) ; GO:0004491
EC:1.2.1.3 > GO:aldehyde dehydrogenase (NAD+) ; GO:0004029
EC:1.2.1.31 > GO:aminoadipate-semialdehyde dehydrogenase ; GO:0004043
EC:1.2.1.38 > GO:N-acetyl-gamma-glutamyl-phosphate reductase ; GO:0003942
EC:1.2.1.41 > GO:glutamate-5-semialdehyde dehydrogenase ; GO:0004350
EC:1.2.1.5 > GO:aldehyde dehydrogenase (NAD(P)+) ; GO:0004030
EC:1.2.3.1 > GO:aldehyde oxidase ; GO:0004031
EC:1.2.3.8 > GO:pyridoxal oxidase ; GO:0004732
EC:1.2.4.1 > GO:pyruvate dehydrogenase (lipoamide) ; GO:0004739
EC:1.2.4.2 > GO:oxoglutarate dehydrogenase (lipoamide) ; GO:0004591
EC:1.2.4.4 > GO:3-methyl-2-oxobutanoate dehdyrogenase (lipoamide) ; GO:0003863
EC:1.3.-.- > GO:C-5 sterol desaturase ; GO:0000248
EC:1.3.1.1 > GO:dihydrouracil dehydrogenase (NAD+) ; GO:0004159
EC:1.3.1.10 > GO:enoyl-[acyl-carrier protein] reductase (NADPH, B-specific) ; GO:0004319
EC:1.3.1.13 > GO:prephenate dehydrogenase (NADP+) ; GO:0004665
EC:1.3.1.14 > GO:orotate reductase (NADH) ; GO:0004589
EC:1.3.1.24 > GO:biliverdin reductase ; GO:0004074
EC:1.3.1.9 > GO:enoyl-[acyl-carrier protein] reductase (NADH) ; GO:0004318
EC:1.3.3.1 > GO:dihydroorotate oxidase ; GO:0004158
EC:1.3.3.3 > GO:coproporphyrinogen oxidase ; GO:0004109
EC:1.3.3.4 > GO:protoporphyrinogen oxidase ; GO:0004729
EC:1.3.3.6 > GO:acyl-CoA oxidase ; GO:0003997
EC:1.3.5.1 > GO:succinate dehydrogenase-(ubiquinone) ; GO:0008177
EC:1.3.99.1 > GO:succinate dehydrogenase ; GO:0000104
EC:1.3.99.10 > GO:isovaleryl-CoA dehydrogenase ; GO:0008470
EC:1.3.99.11 > GO:dihydroorotate dehydrogenase ; GO:0004152
EC:1.3.99.12 > GO:2-methylacyl-CoA dehydrogenase ; GO:0003853
EC:1.3.99.13 > GO:long-chain acyl-CoA dehydrogenase ; GO:0004466
EC:1.3.99.2 > GO:butyryl-CoA dehydrogenase ; GO:0004085
EC:1.3.99.3 > GO:acyl-CoA dehydrogenase ; GO:0003995
EC:1.3.99.5 > GO:3-oxo-5-alpha-steroid 4-dehydrogenase ; GO:0003865
EC:1.3.99.7 > GO:glutaryl-CoA dehydrogenase ; GO:0004361
EC:1.4.1.13 > GO:glutamate synthase (NADPH) ; GO:0004355
EC:1.4.1.2 > GO:glutamate dehydrogenase ; GO:0004352
EC:1.4.1.3 > GO:glutamate dehydrogenase (NAD(P)+) ; GO:0004353
EC:1.4.1.4 > GO:glutamate dehydrogenase (NADP+) ; GO:0004354
EC:1.4.3.- > GO:amine oxidase ; GO:0008131
EC:1.4.3.1 > GO:D-aspartate oxidase ; GO:0008445
EC:1.4.3.13 > GO:protein-lysine 6-oxidase ; GO:0004720
EC:1.4.3.3 > GO:D-amino-acid oxidase ; GO:0003884
EC:1.4.3.4 > GO:amine oxidase (flavin-containing) ; GO:0004041
EC:1.4.3.5 > GO:pyridoxamine-phosphate oxidase ; GO:0004733
EC:1.4.3.6 > GO:amine oxidase (copper-containing) ; GO:0008122
EC:1.4.4.2 > GO:glycine dehydrogenase (decarboxylating) ; GO:0004375
EC:1.5.1.10 > GO:saccharopine dehydrogenase (NADP+, L-glutamate forming) ; GO:0004755
EC:1.5.1.12 > GO:1-pyrroline-5-carboxylate dehydrogenase ; GO:0003842
EC:1.5.1.15 > GO:methylenetetrahydrofolate dehydrogenase (NAD+) ; GO:0004487
EC:1.5.1.2 > GO:pyrroline 5-carboxylate reductase ; GO:0004735
EC:1.5.1.20 > GO:methylenetetrahydrofolate reductase (NADPH) ; GO:0004489
EC:1.5.1.3 > GO:dihydrofolate reductase ; GO:0004146
EC:1.5.1.5 > GO:methylenetetrahydrofolate dehydrogenase (NADP+) ; GO:0004488
EC:1.5.1.7 > GO:saccharopine dehydrogenase (NAD+, L-lysine forming) ; GO:0004754
EC:1.5.3.1 > GO:sarcosine oxidase ; GO:0008115
EC:1.5.4.1 > GO:pyrimidodiazepine synthase ; GO:0004734
EC:1.5.5.1 > GO:electron-transferring-flavoprotein dehydrogenase ; GO:0004174
EC:1.5.99.1 > GO:sarcosine dehydrogenase ; GO:0008480
EC:1.5.99.8 > GO:proline dehydrogenase ; GO:0004657
EC:1.6.1.1 > GO:NAD(P)(+) transhydrogenase (B-specific) ; GO:0003957
EC:1.6.2.2. > GO:cytochrome b5 reductase ; GO:0004128
EC:1.6.2.4 > GO:NADPH--ferrihemoprotein reductase ; GO:0003958
EC:1.6.4.2 > GO:glutathione reductase (NADPH) ; GO:0004362
EC:1.6.4.5 > GO:thioredoxin reductase (NADPH) ; GO:0004791
EC:1.6.5.3 > GO:NADH dehydrogenase (ubiquinone) ; GO:0008137
EC:1.6.5.5 > GO:NADPH:quinone reductase ; GO:0003960
EC:1.6.6.8 > GO:GMP reductase ; GO:0003920
EC:1.6.99.1 > GO:NADPH dehydrogenase ; GO:0003959
EC:1.6.99.2 > GO:NAD(P)H dehydrogenase (quinone) ; GO:0003955
EC:1.6.99.3 > GO:NADH2 dehydrogenase ; GO:0003954
EC:1.6.99.7 > GO:dihydropteridine reductase ; GO:0004155
EC:1.7.3.3 > GO:urate oxidase ; GO:0004846
EC:1.8.1.2 > GO:sulfite reductase (NADPH) ; GO:0004783
EC:1.8.1.4 > GO:dihydrolipoamide dehydrogenase ; GO:0004148
EC:1.8.3.1 > GO:sulfite oxidase ; GO:0008482
EC:1.8.4.6 > GO:protein-methionine-S-oxide reductase ; GO:0008113
EC:1.8.99.4 > GO:phosphoadenosine-phosphosulfate reductase ; GO:0004604
EC:1.9.3.1 > GO:cytochrome-c oxidase ; GO:0004129
EC:2.1.1.- > GO:protein methyltransferase ; GO:0008276
EC:2.1.1.- > GO:rRNA (adenine-N6,N6-)-dimethyltransferase ; GO:0000179
EC:2.1.1.- > GO:rRNA (uridine-2'-O-)-methyltransferase ; GO:0008650
EC:2.1.1.- > GO:ubiquinone biosynthesis methyltransferase ; GO:0008425
EC:2.1.1.1 > GO:nicotinamide N-methyltransferase ; GO:0008112
EC:2.1.1.100 > GO:protein-S isoprenylcysteine O-methyltransferase ; GO:0004671
EC:2.1.1.103 > GO:phosphoethanolamine N-methyltransferase ; GO:0000234
EC:2.1.1.107 > GO:uroporphyrin-III C-methyltransferase ; GO:0004851
EC:2.1.1.114 > GO:hexaprenyldihydroxybenzoate methyltransferase ; GO:0004395
EC:2.1.1.125 > GO:histone-arginine N-methyltransferase ; GO:0008469
EC:2.1.1.14 > GO:5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase ; GO:0003871
EC:2.1.1.16 > GO:methylene-fatty-acyl-phospholipid synthase ; GO:0004481
EC:2.1.1.17 > GO:phosphatidylethanolamine N-methyltransferase ; GO:0004608
EC:2.1.1.28 > GO:phenylethanolamine N-methyltransferase ; GO:0004603
EC:2.1.1.32 > GO:tRNA (guanine-N2-)-methyltransferase ; GO:0004809
EC:2.1.1.33 > GO:tRNA (guanine-N7-)-methyltransferase ; GO:0008176
EC:2.1.1.37 > GO:DNA (cytosine-5-)-methyltransferase ; GO:0003886
EC:2.1.1.41 > GO:delta(24)-sterol C-methyltransferase ; GO:0003838
EC:2.1.1.45 > GO:thymidylate synthase ; GO:0004799
EC:2.1.1.56 > GO:mRNA (guanine-N7)-methyltransferase ; GO:0004482
EC:2.1.1.61 > GO:tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase ; GO:0004808
EC:2.1.1.63 > GO:methylated-DNA--[protein]-cysteine S-methyltransferase ; GO:0003908
EC:2.1.1.67 > GO:thiopurine S-methyltransferase ; GO:0008119
EC:2.1.1.77 > GO:protein-L-isoaspartate (D-aspartate) O-methyltransferase ; GO:0004719
EC:2.1.1.96 > GO:thioether S-methyltransferase ; GO:0004790
EC:2.1.1.98 > GO:diphthine synthase ; GO:0004164
EC:2.1.2.1 > GO:glycine hydroxymethyltransferase ; GO:0004372
EC:2.1.2.10 > GO:aminomethyltransferase ; GO:0004047
EC:2.1.2.11 > GO:3-methyl-2-oxobutanoate hydroxymethyltransferase ; GO:0003864
EC:2.1.2.2 > GO:phosphoribosylglycinamide formyltransferase ; GO:0004644
EC:2.1.2.3 > GO:phosphoribosylaminoimidazolecarboxamide formyltransferase ; GO:0004643
EC:2.1.2.9 > GO:methionyl-tRNA formyltransferase ; GO:0004479
EC:2.1.3.2 > GO:aspartate carbamoyltransferase ; GO:0004070
EC:2.1.3.3 > GO:ornithine carbamoyltransferase ; GO:0004585
EC:2.2.1.1 > GO:transketolase ; GO:0004802
EC:2.2.1.2 > GO:transaldolase ; GO:0004801
EC:2.29.13.1 > GO:succinate/fumarate antiporter ; GO:0005469
EC:2.3.1.- > GO:dihydrolipoamide branched chain transacylase ; GO:0004147
EC:2.3.1.1 > GO:amino-acid N-acetyltransferase ; GO:0004042
EC:2.3.1.12 > GO:dihydrolipoamide S-acyltransferase ; GO:0004742
EC:2.3.1.137 > GO:carnitine O-octanoyltransferase ; GO:0008458
EC:2.3.1.139 > GO:ecdysone O-acyltransferase ; GO:0004173
EC:2.3.1.15 > GO:glycerol-3-phosphate acyltransferase ; GO:0004366
EC:2.3.1.16 > GO:acetyl-CoA C-acyltransferase ; GO:0003988
EC:2.3.1.20 > GO:diacylglycerol O-acyltransferase ; GO:0004144
EC:2.3.1.21 > GO:carnitine O-palmityltransferase ; GO:0004095
EC:2.3.1.22 > GO:2-acylglycerol O-acyltransferase ; GO:0003846
EC:2.3.1.26 > GO:sterol O-acyltransferase ; GO:0004772
EC:2.3.1.31 > GO:homoserine O-acetyltransferase ; GO:0004414
EC:2.3.1.32 > GO:lysine acetyltransferase ; GO:0004468
EC:2.3.1.35 > GO:glutamate N-acetyltransferase ; GO:0004358
EC:2.3.1.37 > GO:5-aminolevulinate synthase ; GO:0003870
EC:2.3.1.38 > GO:[acyl-carrier protein] S-acetyltransferase ; GO:0004313
EC:2.3.1.39 > GO:[acyl-carrier protein] S-malonyltransferase ; GO:0004314
EC:2.3.1.4 > GO:glucosamine-phosphate N-acetyltransferase ; GO:0004343
EC:2.3.1.41 > GO:3-oxoacyl-[acyl-carrier protein] synthase ; GO:0004315
EC:2.3.1.43 > GO:phosphatidylcholine-sterol O-acyltransferase ; GO:0004607
EC:2.3.1.48 > GO:histone acetyltransferase ; GO:0004402, GO:0004403, GO:0004404
EC:2.3.1.5 > GO:arylamine N-acetyltransferase ; GO:0004060
EC:2.3.1.50 > GO:serine C-palmitoyltransferase ; GO:0004758
EC:2.3.1.51 > GO:1-acylglycerol-3-phosphate O-acyltransferase ; GO:0003841
EC:2.3.1.57 > GO:diamine N-acetyltransferase ; GO:0004145
EC:2.3.1.6 > GO:choline O-acetyltransferase ; GO:0004102
EC:2.3.1.61 > GO:dihydrolipoamide S-succinyltransferase ; GO:0004149
EC:2.3.1.7 > GO:carnitine O-acetyltransferase ; GO:0004092
EC:2.3.1.84 > GO:alcohol O-acetyltransferase ; GO:0004026
EC:2.3.1.85 > GO:fatty-acid synthase ; GO:0004312
EC:2.3.1.86 > GO:fatty-acyl-CoA synthase ; GO:0004321
EC:2.3.1.87 > GO:arylalkylamine N-acetyltransferase ; GO:0004059
EC:2.3.1.88 > GO:peptide alpha-N-acetyltransferase ; GO:0004596
EC:2.3.1.9 > GO:acetyl-CoA C-acetyltransferase ; GO:0003985
EC:2.3.1.97 > GO:glycylpeptide N-tetradecanoylytansferase ; GO:0004379
EC:2.3.2.12 > GO:peptidyltransferase ; GO:0000048
EC:2.3.2.13 > GO:protein-glutamine gamma-glutamyltransferase ; GO:0003810
EC:2.3.2.2 > GO:gamma-glutamyl transferase ; GO:0003840
EC:2.3.2.4 > GO:gamma-glutamylcyclotransferase ; GO:0003839
EC:2.3.2.8 > GO:arginyltransferase ; GO:0004057
EC:2.4.1.- > GO:UDP-glucose:glycoprotein glucosyltransferase ; GO:0003980
EC:2.4.1.- > GO:alpha-1,6-mannosyltransferase ; GO:0000009
EC:2.4.1.- > GO:glycolipid mannosyl transferase ; GO:0004580
EC:2.4.1.1 > GO:glycogen phosphorylase ; GO:0008184
EC:2.4.1.1 > GO:phosphorylase ; GO:0004645
EC:2.4.1.101 > GO:alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase ; GO:0003827
EC:2.4.1.102 > GO:beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase ; GO:0003829
EC:2.4.1.109 > GO:dolichyl-phosphate-mannose--protein mannosyltransferase ; GO:0004169
EC:2.4.1.11 > GO:glycogen (starch) synthase ; GO:0004373
EC:2.4.1.117 > GO:dolichyl-phosphate beta-glucosyltransferase ; GO:0004581
EC:2.4.1.119 > GO:dolichyl-diphosphooligosaccharide-protein glycosyltransferase ; GO:0004579
EC:2.4.1.130 > GO:dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase ; GO:0004584
EC:2.4.1.131 > GO:glycolipid 2-alpha-mannosyltransferase ; GO:0004377
EC:2.4.1.132 > GO:glycolipid 3-alpha-mannosyltransferase ; GO:0004378
EC:2.4.1.141 > GO:N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase ; GO:0004577
EC:2.4.1.142 > GO:chitobiosyldiphosphodolichol alpha-mannosyltransferase ; GO:0004578
EC:2.4.1.143 > GO:alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase ; GO:0008455
EC:2.4.1.144 > GO:beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase ; GO:0003830
EC:2.4.1.145 > GO:alpha-1,3-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase ; GO:0008454
EC:2.4.1.149 > GO:N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase ; GO:0008532
EC:2.4.1.15 > GO:alpha,alpha-trehalose-phosphate synthase (UDP-forming) ; GO:0003825
EC:2.4.1.150 > GO:N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase ; GO:0008109
EC:2.4.1.151 > GO:N-acetyllactosaminide alpha-1,3-galactosyltransferase ; GO:0003946
EC:2.4.1.16 > GO:chitin synthase ; GO:0004100
EC:2.4.1.163 > GO:beta-galactosyl-N-acetylglucosaminylgalactosyl-glucosylceramide beta-1,3-acetylglucosaminyltransferase ; GO:0008457
EC:2.4.1.17 > GO:UDP-glucuronosyltransferase ; GO:0003981
EC:2.4.1.18 > GO:1,4-alpha-glucan branching enzyme ; GO:0003844
EC:2.4.1.22 > GO:lactose synthase ; GO:0004461
EC:2.4.1.25 > GO:4-alpha-glucanotransferase ; GO:0004134
EC:2.4.1.34 > GO:1,3-beta-glucan synthase ; GO:0003843
EC:2.4.1.37 > GO:glycoprotein-fucosylgalactoside alpha-galactosyltransferase ; GO:0004381
EC:2.4.1.38 > GO:beta-N-acetylglucosaminyl-glycopeptide beta-1,4-galactosyltransferase ; GO:0003831
EC:2.4.1.40 > GO:glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase ; GO:0004380
EC:2.4.1.41 > GO:polypeptide N-acetylgalactosaminyltransferase ; GO:0004653
EC:2.4.1.45 > GO:2-hydroxyacylsphingosine 1-beta-galactosyltransferase ; GO:0003851
EC:2.4.1.68 > GO:glycoprotein 6-alpha-L-fucosyltransferase ; GO:0008424
EC:2.4.1.69 > GO:galactoside 2-L-fucosyltransferase ; GO:0008107
EC:2.4.1.80 > GO:ceramide glucosyltransferase ; GO:0008120
EC:2.4.1.83 > GO:dolichyl-phosphate beta-D-mannosyltransferase ; GO:0004582
EC:2.4.1.90 > GO:N-acetyllactosamine synthase ; GO:0003945
EC:2.4.1.92 > GO:(N-acetylneuraminyl)-galactosylglucosylceramide ; GO:0003947
EC:2.4.2.1 > GO:purine-nucleoside phosphorylase ; GO:0004731
EC:2.4.2.10 > GO:orotate phosphoribosyltransferase ; GO:0004588
EC:2.4.2.11 > GO:nicotinate phosphoribosyltransferase ; GO:0004516
EC:2.4.2.14 > GO:amidophosphoribosyltransferase ; GO:0004044
EC:2.4.2.17 > GO:ATP phosphoribosyltransferase ; GO:0003879
EC:2.4.2.18 > GO:anthranilate phosphoribosyltransferase ; GO:0004048
EC:2.4.2.19 > GO:nicotinate-nucleotide pyrophosphorylase (carboxylating) ; GO:0004514
EC:2.4.2.29 > GO:queuine tRNA-ribosyltransferase ; GO:0008479
EC:2.4.2.3 > GO:uridine phosphorylase ; GO:0004850
EC:2.4.2.30 > GO:NAD(+) ADP-ribosyltransferase ; GO:0003950
EC:2.4.2.31 > GO:NAD(P)(+)--arginine ADP-ribosyltransferase ; GO:0003956
EC:2.4.2.7 > GO:adenine phosphoribosyltransferase ; GO:0003999
EC:2.4.2.8 > GO:hypoxanthine phosphoribosyltransferase ; GO:0004422
EC:2.4.2.9 > GO:uracil phosphoribosyltransferase ; GO:0004845
EC:2.4.99.1 > GO:beta-galactosamide alpha-2,6-sialyltransferase ; GO:0003835
EC:2.4.99.10 > GO:neolactotetraosylceramide alpha-2,3-sialyltransferase ; GO:0004513
EC:2.4.99.4 > GO:beta-galactoside alpha-2,3-sialyltransferase ; GO:0003836
EC:2.4.99.6 > GO:N-acetyllactosaminide alpha-2,3-sialyltransferase ; GO:0008118
EC:2.4.99.8 > GO:alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase ; GO:0003828
EC:2.5.1.- > GO:CAAX-protein geranylgeranyltransferase ; GO:0004662
EC:2.5.1.- > GO:RAB-protein geranylgeranyltransferase ; GO:0004663
EC:2.5.1.- > GO:protein farnesyltransferase ; GO:0004660
EC:2.5.1.- > GO:protein geranylgeranyltransferase ; GO:0004661
EC:2.5.1.- > GO:protoheme IX farnesyltransferase ; GO:0008495
EC:2.5.1.1 > GO:dimethylallyltranstransferase ; GO:0004161
EC:2.5.1.10 > GO:geranyltranstransferase ; GO:0004337
EC:2.5.1.15 > GO:dihydropteroate synthase ; GO:0004156
EC:2.5.1.16 > GO:spermidine synthase ; GO:0004766
EC:2.5.1.18 > GO:glutathione transferase ; GO:0004364
EC:2.5.1.19 > GO:3-phosphoshikimate 1-carboxyvinyltransferase ; GO:0003866
EC:2.5.1.21 > GO:farnesyl-diphosphate farnesyl transferase ; GO:0004310
EC:2.5.1.26 > GO:alkylglycerone-phosphate synthase ; GO:0008609
EC:2.5.1.29 > GO:farnesyltranstransferase ; GO:0004311
EC:2.5.1.3 > GO:thiamin-phosphate pyrophosphorylase ; GO:0004789
EC:2.5.1.37 > GO:leukotriene-C4 synthase ; GO:0004464
EC:2.5.1.6 > GO:methionine adenosyltransferase ; GO:0004478
EC:2.5.1.8 > GO:tRNA isopentenyltransferase ; GO:0004811
EC:2.5.1.9 > GO:riboflavin synthase ; GO:0004746
EC:2.6.1.1 > GO:aspartate aminotransferase ; GO:0004069
